Date,Gold,Silver,Oil,USD
2004-07-07,399.65,5.93,35.62,87.65
2004-07-08,405.35,6.07,37.13,87.54
2004-07-09,406.5,6.34,37.58,87.42
2004-07-10,406.5,6.4,37.58,87.42
2004-07-12,406.35,6.44,37.73,87.39
2004-07-13,400.9,6.39,36.68,87.82
2004-07-14,403.8,6.36,37.51,87.58
2004-07-15,403.15,6.51,38.41,87.99
2004-07-16,406.3,6.57,38.49,87.14
2004-07-17,406.3,6.64,38.49,87.14
2004-07-19,406.35,6.63,39.07,87.18
2004-07-20,400.0,6.56,38.96,87.83
2004-07-21,398.5,6.48,38.48,88.56
2004-07-22,397.75,6.33,39.16,88.45
2004-07-23,391.5,6.29,39.59,89.26
2004-07-24,391.5,6.26,39.59,89.26
2004-07-26,390.75,6.25,39.75,89.03
2004-07-27,389.85,6.17,40.09,89.79
2004-07-28,387.3,6.14,41.08,89.75
2004-07-29,387.3,6.28,40.93,89.95
2004-07-30,391.4,6.33,41.47,89.96
2004-07-31,391.4,6.48,41.47,89.96
2004-08-02,391.5,6.55,41.35,89.75
2004-08-03,390.95,6.51,41.82,89.57
2004-08-04,391.5,6.58,41.75,89.68
2004-08-05,390.85,6.63,42.49,89.64
2004-08-06,399.0,6.65,42.63,88.36
2004-08-07,399.0,6.64,42.63,88.36
2004-08-09,399.0,6.68,43.21,88.39
2004-08-10,399.5,6.63,42.5,88.79
2004-08-11,393.85,6.58,42.45,88.85
2004-08-12,394.15,6.46,43.5,88.69
2004-08-13,396.75,6.45,44.13,87.9
2004-08-15,396.75,6.56,44.13,87.9
2004-08-16,401.65,6.63,44.35,87.96
2004-08-17,401.3,6.67,44.05,88.06
2004-08-18,402.45,6.63,44.12,88.08
2004-08-19,406.5,6.76,44.84,87.79
2004-08-20,410.55,6.76,45.46,88.12
2004-08-21,410.55,6.8,45.46,88.12
2004-08-23,410.6,6.76,44.39,89.06
2004-08-24,406.2,6.6,42.99,89.46
2004-08-25,406.0,6.52,42.39,89.42
2004-08-26,406.05,6.52,40.65,89.3
2004-08-27,405.1,6.63,40.72,89.77
2004-08-28,405.1,6.51,40.72,89.77
2004-08-30,405.1,6.53,40.78,89.69
2004-08-31,407.25,6.66,39.8,88.94
2004-09-01,407.65,6.69,40.96,88.87
2004-09-02,406.1,6.73,42.39,88.98
2004-09-03,401.15,6.69,41.07,89.63
2004-09-04,401.15,6.68,41.07,89.63
2004-09-06,401.6,6.47,40.4,89.53
2004-09-07,398.1,6.5,40.19,89.23
2004-09-08,396.3,6.13,39.91,88.77
2004-09-09,398.7,6.14,41.45,88.83
2004-09-10,401.35,6.1,41.03,88.39
2004-09-13,399.3,6.09,40.63,88.55
2004-09-14,405.25,6.14,41.34,88.46
2004-09-15,404.45,6.14,42.03,89.15
2004-09-16,403.4,6.2,40.68,88.79
2004-09-17,405.7,6.2,43.08,88.91
2004-09-18,405.7,6.17,43.08,88.91
2004-09-20,404.3,6.17,43.6,88.99
2004-09-21,408.5,6.19,44.56,88.13
2004-09-22,405.35,6.28,45.66,88.51
2004-09-23,411.5,6.28,46.53,88.44
2004-09-24,407.85,6.35,46.13,88.4
2004-09-25,407.85,6.17,46.13,88.4
2004-09-27,409.2,6.31,46.87,88.29
2004-09-28,411.7,6.48,47.52,88.11
2004-09-29,412.95,6.52,46.54,88.1
2004-09-30,415.65,6.6,47.76,87.36
2004-10-01,418.1,6.85,46.86,87.63
2004-10-02,418.1,6.85,46.86,87.63
2004-10-04,412.55,6.81,46.99,88.38
2004-10-05,415.4,6.65,47.1,88.17
2004-10-06,418.45,7.04,47.95,88.48
2004-10-07,418.1,7.11,48.98,88.34
2004-10-08,421.75,7.09,49.41,87.45
2004-10-11,421.7,7.18,50.75,87.54
2004-10-12,414.7,7.11,51.28,88.02
2004-10-13,411.25,6.86,50.42,87.88
2004-10-14,415.35,6.92,51.31,87.55
2004-10-15,420.4,6.97,51.02,87.09
2004-10-16,420.4,7.0,51.02,87.09
2004-10-18,419.1,6.96,49.16,87.02
2004-10-19,419.35,6.86,49.21,86.84
2004-10-20,423.6,7.1,50.78,86.35
2004-10-21,422.5,7.26,51.06,86.02
2004-10-22,422.8,7.2,52.28,85.87
2004-10-23,422.8,7.24,52.28,85.87
2004-10-25,429.15,7.35,51.68,84.97
2004-10-26,427.5,7.25,52.04,85.21
2004-10-27,428.25,7.23,49.99,85.44
2004-10-28,424.2,7.09,48.88,85.28
2004-10-29,425.55,7.08,48.16,84.91
2004-10-30,425.55,7.24,48.16,84.91
2004-11-01,428.85,7.19,46.84,85.2
2004-11-02,424.2,7.17,46.25,85.47
2004-11-03,423.5,6.93,46.14,84.7
2004-11-04,430.5,7.14,45.32,84.54
2004-11-05,431.0,7.26,44.37,84.01
2004-11-06,431.0,7.42,44.37,84.01
2004-11-08,431.9,7.43,44.78,84.09
2004-11-09,433.65,7.38,43.27,84.29
2004-11-10,433.4,7.42,42.57,84.43
2004-11-11,433.8,7.35,42.22,84.37
2004-11-12,436.05,7.38,41.33,83.69
2004-11-15,437.6,7.53,39.32,84.0
2004-11-16,439.4,7.46,40.48,83.8
2004-11-17,443.45,7.5,40.27,83.29
2004-11-18,442.0,7.6,40.8,83.69
2004-11-19,445.6,7.47,42.29,83.31
2004-11-20,445.6,7.52,42.29,83.31
2004-11-22,447.8,7.54,42.26,83.19
2004-11-23,448.15,7.47,43.03,82.97
2004-11-24,448.6,7.49,42.62,82.41
2004-11-25,451.15,7.55,43.12,82.18
2004-11-26,451.0,7.67,42.87,81.78
2004-11-27,451.0,7.63,42.87,81.78
2004-11-29,451.25,7.6,44.05,81.93
2004-11-30,453.4,7.69,44.23,81.82
2004-12-01,452.85,7.67,41.19,81.56
2004-12-02,454.2,7.96,38.49,81.95
2004-12-03,448.65,7.8,38.57,80.98
2004-12-04,448.65,7.95,38.57,80.98
2004-12-06,453.05,7.91,38.43,81.28
2004-12-07,451.8,7.81,37.11,81.24
2004-12-08,436.9,7.63,36.9,81.9
2004-12-09,437.1,7.02,38.33,82.03
2004-12-10,434.0,6.64,37.24,82.55
2004-12-13,435.1,6.72,36.77,82.1
2004-12-14,437.1,6.75,37.03,82.32
2004-12-15,439.0,6.66,41.53,81.63
2004-12-16,439.5,6.82,41.49,82.5
2004-12-17,438.9,6.66,43.06,82.16
2004-12-20,442.45,6.73,42.67,81.67
2004-12-21,440.95,6.77,42.76,81.94
2004-12-22,441.0,6.83,40.44,81.93
2004-12-23,441.1,6.76,40.29,81.34
2004-12-24,441.1,6.81,39.6,81.22
2004-12-27,441.1,6.82,39.6,80.72
2004-12-28,441.1,6.82,40.24,80.72
2004-12-29,440.25,6.94,38.93,80.97
2004-12-30,435.6,6.74,39.8,80.53
2004-12-31,435.6,6.76,40.38,80.85
2005-01-02,435.6,6.75,40.38,80.85
2005-01-03,435.6,6.75,40.38,81.3
2005-01-04,427.75,6.39,40.75,82.57
2005-01-05,426.0,6.38,41.0,82.54
2005-01-06,424.35,6.43,43.25,83.15
2005-01-07,422.2,6.38,43.28,83.61
2005-01-10,420.0,6.37,44.71,83.29
2005-01-11,421.35,6.41,43.45,83.02
2005-01-12,426.6,6.54,43.75,82.14
2005-01-13,423.6,6.65,45.76,82.51
2005-01-14,422.5,6.63,45.26,83.06
2005-01-15,422.5,6.65,45.26,83.06
2005-01-17,422.25,6.52,45.1,83.06
2005-01-18,421.75,6.5,45.18,83.36
2005-01-19,424.95,6.59,45.16,83.6
2005-01-20,422.9,6.52,44.06,83.84
2005-01-21,423.3,6.49,45.88,83.26
2005-01-22,423.3,6.72,45.88,83.26
2005-01-24,427.35,6.74,45.74,83.24
2005-01-25,424.5,6.74,46.14,83.99
2005-01-26,425.8,6.74,45.94,83.3
2005-01-27,424.5,6.72,46.51,83.43
2005-01-28,426.8,6.73,44.75,83.48
2005-01-29,426.8,6.72,44.75,83.48
2005-01-31,422.15,6.65,44.51,83.6
2005-02-01,420.9,6.66,45.12,83.45
2005-02-02,421.6,6.67,44.17,83.52
2005-02-03,416.5,6.66,43.13,83.97
2005-02-04,415.9,6.57,43.26,84.39
2005-02-07,414.4,6.54,42.7,85.04
2005-02-08,411.1,6.46,42.79,85.1
2005-02-09,411.15,6.47,42.49,85.02
2005-02-10,415.5,6.55,44.04,84.54
2005-02-11,418.85,6.9,44.41,84.57
2005-02-12,418.85,7.12,44.41,84.57
2005-02-14,424.2,7.19,44.51,83.96
2005-02-15,424.4,7.21,44.91,83.59
2005-02-16,423.1,7.19,45.42,83.67
2005-02-17,426.25,7.18,45.42,83.47
2005-02-18,427.1,7.27,45.86,83.49
2005-02-19,427.1,7.35,45.86,83.49
2005-02-21,427.15,7.3,46.09,83.55
2005-02-22,432.85,7.37,47.6,82.41
2005-02-23,432.6,7.45,48.16,82.68
2005-02-24,433.75,7.36,49.24,82.88
2005-02-25,434.25,7.25,50.05,82.66
2005-02-28,435.45,7.29,50.13,82.51
2005-03-01,433.45,7.24,50.47,82.77
2005-03-02,431.75,7.11,51.05,83.08
2005-03-03,430.2,7.24,52.89,83.28
2005-03-04,433.45,7.15,52.1,82.54
2005-03-05,433.45,7.28,52.1,82.54
2005-03-07,433.0,7.28,51.87,82.79
2005-03-08,437.25,7.33,53.29,81.98
2005-03-09,439.5,7.46,54.11,81.63
2005-03-10,440.9,7.51,53.04,81.57
2005-03-11,443.7,7.4,53.15,81.42
2005-03-12,443.7,7.47,53.15,81.42
2005-03-14,441.95,7.43,53.68,81.97
2005-03-15,440.65,7.34,53.97,82.12
2005-03-16,443.0,7.32,54.61,81.62
2005-03-17,438.6,7.37,56.03,81.84
2005-03-18,437.15,7.29,55.97,82.13
2005-03-19,437.15,7.31,55.97,82.13
2005-03-21,432.7,7.24,55.79,82.88
2005-03-22,432.15,7.01,55.39,83.36
2005-03-23,426.15,6.89,51.52,84.0
2005-03-24,425.15,6.87,52.35,84.13
2005-03-25,425.15,6.87,52.35,84.13
2005-03-28,425.15,6.87,51.75,84.62
2005-03-29,426.1,6.85,51.42,84.32
2005-03-30,426.45,6.91,50.63,84.29
2005-03-31,427.5,7.05,53.22,84.06
2005-04-01,427.15,7.07,54.14,84.43
2005-04-02,427.15,6.92,54.14,84.43
2005-04-04,423.9,6.91,55.92,84.78
2005-04-05,424.6,6.93,54.53,84.66
2005-04-06,425.75,6.99,54.08,84.68
2005-04-07,428.0,7.04,52.57,84.87
2005-04-08,425.2,6.97,51.83,84.47
2005-04-09,425.2,7.09,51.83,84.47
2005-04-11,429.0,7.08,51.21,84.16
2005-04-12,427.3,7.18,51.53,84.42
2005-04-13,427.5,7.11,49.67,84.42
2005-04-14,423.45,7.11,50.21,85.0
2005-04-15,424.6,6.96,49.52,84.56
2005-04-16,424.6,6.95,49.52,84.56
2005-04-18,425.75,6.92,48.58,84.0
2005-04-19,427.45,6.99,50.79,83.76
2005-04-20,433.2,7.17,51.53,83.52
2005-04-21,434.0,7.23,51.73,83.7
2005-04-22,434.6,7.17,53.51,83.5
2005-04-25,432.9,7.17,53.1,83.82
2005-04-26,437.0,7.2,52.47,83.96
2005-04-27,434.35,7.15,51.29,84.12
2005-04-28,432.5,7.07,50.74,84.35
2005-04-29,435.7,6.91,50.61,84.43
2005-04-30,435.7,6.86,50.61,84.43
2005-05-02,435.7,6.82,50.89,84.49
2005-05-03,427.9,6.77,49.48,84.51
2005-05-04,428.8,6.85,50.36,84.0
2005-05-05,429.15,6.97,49.81,83.94
2005-05-06,425.15,7.0,49.7,84.61
2005-05-07,425.15,6.87,49.7,84.61
2005-05-09,425.5,6.88,49.71,84.64
2005-05-10,427.4,6.99,50.61,84.45
2005-05-11,426.1,7.03,48.91,84.94
2005-05-12,424.25,6.96,47.4,85.49
2005-05-13,420.0,6.85,46.85,86.1
2005-05-14,420.0,6.87,46.85,86.1
2005-05-16,419.25,6.84,46.42,86.12
2005-05-17,420.0,6.9,47.31,86.21
2005-05-18,419.75,6.96,47.35,85.82
2005-05-19,420.8,7.12,46.92,86.09
2005-05-20,418.0,7.05,46.91,86.63
2005-05-21,418.0,6.88,46.91,86.63
2005-05-23,418.0,6.88,47.28,86.4
2005-05-24,418.3,6.92,47.29,86.37
2005-05-25,418.4,6.96,49.24,86.35
2005-05-26,418.0,7.08,49.71,86.85
2005-05-27,418.25,7.07,49.42,86.42
2005-05-28,418.25,7.07,49.42,86.42
2005-05-30,418.25,7.2,49.33,86.42
2005-05-31,414.45,7.13,49.3,87.76
2005-06-01,415.35,7.33,50.46,88.11
2005-06-02,420.4,7.42,51.3,87.75
2005-06-03,423.55,7.47,51.9,88.04
2005-06-04,423.55,7.4,51.9,88.04
2005-06-06,425.85,7.4,52.61,87.6
2005-06-07,424.1,7.45,51.62,87.49
2005-06-08,424.55,7.35,51.92,87.88
2005-06-09,422.5,7.34,51.36,88.07
2005-06-10,422.55,7.19,51.98,88.69
2005-06-11,422.55,7.2,51.98,88.69
2005-06-13,429.1,7.17,52.0,88.95
2005-06-14,426.85,7.18,53.52,89.26
2005-06-15,428.7,7.19,54.12,88.65
2005-06-16,433.0,7.28,54.3,88.72
2005-06-17,437.5,7.3,56.92,87.73
2005-06-20,439.35,7.31,57.1,88.49
2005-06-21,435.2,7.18,57.36,88.18
2005-06-22,437.0,7.21,56.06,88.56
2005-06-23,439.15,7.16,57.03,89.12
2005-06-24,440.55,7.21,57.21,88.78
2005-06-25,440.55,7.21,57.21,88.78
2005-06-27,439.3,7.19,58.5,88.45
2005-06-28,437.0,7.15,57.75,88.99
2005-06-29,435.8,7.02,55.42,89.11
2005-06-30,437.1,7.04,55.36,89.11
2005-07-01,432.6,6.97,56.41,90.13
2005-07-02,432.6,6.8,56.41,90.13
2005-07-04,427.4,6.86,57.13,90.43
2005-07-05,423.75,6.82,57.86,90.44
2005-07-06,423.5,6.83,58.38,90.38
2005-07-07,425.2,6.9,57.55,90.28
2005-07-08,424.4,6.9,59.0,90.25
2005-07-09,424.4,6.94,59.0,90.25
2005-07-11,424.2,6.96,56.1,89.46
2005-07-12,426.25,7.05,58.95,88.41
2005-07-13,424.5,6.99,58.33,89.31
2005-07-14,424.3,6.92,56.79,89.4
2005-07-15,418.35,6.91,56.98,89.72
2005-07-18,420.9,6.93,56.25,89.64
2005-07-19,419.25,6.93,56.75,89.85
2005-07-20,422.15,6.91,56.39,89.34
2005-07-21,424.25,7.03,55.59,88.93
2005-07-22,425.0,7.07,56.98,89.64
2005-07-23,425.0,7.08,56.98,89.64
2005-07-25,425.4,7.04,57.51,89.6
2005-07-26,423.25,7.03,58.58,90.0
2005-07-27,424.0,6.92,58.34,89.73
2005-07-28,426.4,6.99,58.28,89.34
2005-07-29,429.0,7.1,59.77,89.35
2005-07-30,429.0,7.18,59.77,89.35
2005-08-01,431.65,7.18,60.56,88.8
2005-08-02,431.0,7.2,60.13,88.76
2005-08-03,434.6,7.17,60.04,87.99
2005-08-04,438.6,7.2,60.62,87.8
2005-08-05,438.25,7.14,60.73,88.06
2005-08-06,438.25,7.08,60.73,88.06
2005-08-08,436.2,7.07,62.56,87.92
2005-08-09,433.3,6.94,62.79,87.89
2005-08-10,436.55,6.99,63.77,87.61
2005-08-11,440.75,7.04,65.9,87.1
2005-08-12,447.25,7.12,67.26,86.98
2005-08-15,443.5,7.0,66.68,87.32
2005-08-16,443.0,6.92,65.1,87.43
2005-08-17,442.0,6.97,63.41,88.0
2005-08-18,439.65,6.92,61.75,88.59
2005-08-19,439.65,6.92,64.21,88.58
2005-08-20,439.65,6.92,64.21,88.58
2005-08-22,439.65,6.93,65.87,88.14
2005-08-23,439.35,7.01,65.16,88.08
2005-08-24,440.0,6.91,65.25,87.91
2005-08-25,438.85,6.89,65.88,87.64
2005-08-26,436.75,6.78,66.23,87.86
2005-08-27,436.75,6.68,66.23,87.86
2005-08-29,436.75,6.72,64.77,88.25
2005-08-30,430.65,6.69,66.15,88.35
2005-08-31,433.25,6.69,66.8,87.58
2005-09-01,439.6,6.79,66.79,86.55
2005-09-02,443.6,6.93,65.95,86.3
2005-09-05,446.05,6.99,64.16,86.3
2005-09-06,444.15,6.96,64.16,86.57
2005-09-07,445.05,6.99,63.6,86.97
2005-09-08,448.55,7.0,61.66,87.04
2005-09-09,448.25,6.92,62.62,86.89
2005-09-10,448.25,6.96,62.62,86.89
2005-09-12,448.35,6.99,60.69,87.71
2005-09-13,445.4,6.95,61.31,87.75
2005-09-14,449.3,6.9,61.7,87.67
2005-09-15,454.8,6.97,61.9,88.13
2005-09-16,457.2,7.01,60.48,88.05
2005-09-17,457.2,7.18,60.48,88.05
2005-09-19,464.5,7.18,64.04,88.44
2005-09-20,464.8,7.3,62.98,88.6
2005-09-21,469.1,7.25,64.31,88.14
2005-09-22,466.25,7.38,64.64,88.56
2005-09-23,462.65,7.28,62.17,89.21
2005-09-24,462.65,7.38,62.17,89.21
2005-09-26,461.7,7.38,61.73,89.11
2005-09-27,464.1,7.25,62.56,89.6
2005-09-28,464.0,7.2,62.81,89.47
2005-09-29,472.4,7.32,62.02,89.4
2005-09-30,473.25,7.46,61.7,89.52
2005-10-03,466.1,7.35,61.64,90.13
2005-10-04,467.45,7.36,59.17,90.1
2005-10-05,463.5,7.31,59.33,89.98
2005-10-06,471.8,7.34,57.2,88.66
2005-10-07,472.7,7.52,57.29,89.17
2005-10-08,472.7,7.66,57.29,89.17
2005-10-10,473.2,7.71,57.01,89.46
2005-10-11,475.5,7.71,58.1,89.97
2005-10-12,475.1,7.77,59.91,89.63
2005-10-13,469.5,7.67,59.48,89.81
2005-10-14,466.0,7.63,58.45,89.35
2005-10-15,466.0,7.74,58.45,89.35
2005-10-17,474.5,7.75,59.81,89.8
2005-10-18,472.0,7.73,58.85,90.29
2005-10-19,465.9,7.67,58.13,89.99
2005-10-20,464.3,7.5,57.04,89.91
2005-10-21,462.85,7.54,56.94,90.31
2005-10-22,462.85,7.6,56.94,90.31
2005-10-24,466.1,7.57,57.64,90.11
2005-10-25,472.25,7.63,58.72,89.24
2005-10-26,473.2,7.76,58.56,89.49
2005-10-27,474.4,7.76,58.1,89.1
2005-10-28,470.75,7.76,59.47,89.59
2005-10-31,470.75,7.73,58.47,90.07
2005-11-01,459.5,7.5,56.69,90.08
2005-11-02,460.8,7.39,58.53,89.72
2005-11-03,461.85,7.49,59.55,90.44
2005-11-04,460.5,7.51,60.48,91.26
2005-11-05,460.5,7.48,60.48,91.26
2005-11-07,456.5,7.46,58.19,91.29
2005-11-08,461.6,7.48,57.89,91.37
2005-11-09,462.55,7.57,57.71,91.5
2005-11-10,467.0,7.64,55.85,92.08
2005-11-11,466.75,7.64,54.3,91.98
2005-11-12,466.75,7.7,54.3,91.98
2005-11-14,467.5,7.73,54.1,92.13
2005-11-15,468.25,7.69,54.45,92.09
2005-11-16,475.75,7.75,53.68,92.33
2005-11-17,486.15,7.97,53.8,91.88
2005-11-18,485.85,8.04,52.84,91.93
2005-11-19,485.85,8.0,52.84,91.93
2005-11-21,488.95,8.03,53.36,92.03
2005-11-22,492.6,8.12,54.21,91.5
2005-11-23,487.6,8.06,53.73,91.51
2005-11-24,493.4,8.08,53.41,91.51
2005-11-25,495.9,8.11,53.15,92.04
2005-11-28,496.0,8.18,52.91,90.98
2005-11-29,496.0,8.26,53.24,91.62
2005-11-30,495.65,8.17,53.25,91.57
2005-12-01,499.75,8.18,53.65,91.82
2005-12-02,502.5,8.48,54.91,91.95
2005-12-03,502.5,8.17,54.91,91.95
2005-12-05,505.65,8.53,56.05,91.48
2005-12-06,504.25,8.6,55.68,91.44
2005-12-07,515.4,8.67,55.17,91.89
2005-12-08,515.7,8.76,56.26,91.26
2005-12-09,525.5,8.89,57.18,91.25
2005-12-10,525.5,8.94,57.18,91.25
2005-12-12,536.5,9.03,57.23,90.35
2005-12-13,522.5,8.63,59.16,90.38
2005-12-14,509.5,8.39,59.59,89.83
2005-12-15,506.25,8.3,59.67,90.02
2005-12-16,507.0,8.42,58.11,89.7
2005-12-17,507.0,8.48,58.11,89.7
2005-12-19,508.75,8.47,56.09,89.87
2005-12-20,502.5,8.52,56.08,90.78
2005-12-21,489.0,8.19,56.05,90.94
2005-12-22,500.0,8.32,57.3,90.72
2005-12-23,500.0,8.47,56.28,90.84
2005-12-24,500.0,8.51,56.28,90.84
2005-12-26,500.0,8.51,56.54,90.84
2005-12-27,500.0,8.51,56.54,91.19
2005-12-28,518.0,8.67,56.91,91.26
2005-12-29,513.0,8.83,57.72,91.1
2005-12-30,513.0,8.72,58.34,91.17
2005-12-31,513.0,8.77,58.34,91.17
2006-01-02,513.0,8.77,58.34,91.17
2006-01-03,530.0,8.84,61.51,89.84
2006-01-04,529.5,9.08,61.25,89.14
2006-01-05,524.75,9.0,61.68,89.33
2006-01-06,535.25,8.72,62.43,88.85
2006-01-07,535.25,9.05,62.43,88.85
2006-01-09,541.5,9.09,62.51,89.25
2006-01-10,543.5,9.07,62.32,89.33
2006-01-11,544.4,8.85,61.54,88.99
2006-01-12,542.5,8.92,62.95,89.44
2006-01-13,548.25,8.9,61.58,88.89
2006-01-14,548.25,9.06,61.58,88.89
2006-01-16,561.75,9.09,62.34,88.89
2006-01-17,553.25,9.18,63.22,89.3
2006-01-18,545.0,8.91,63.6,89.26
2006-01-19,554.75,8.82,63.64,89.39
2006-01-20,567.25,8.99,64.92,88.95
2006-01-21,567.25,8.82,64.92,88.95
2006-01-23,554.5,8.87,64.56,87.95
2006-01-24,557.25,8.94,63.82,88.06
2006-01-25,561.75,9.22,62.61,88.33
2006-01-26,556.5,9.64,62.93,88.62
2006-01-27,561.75,9.53,64.95,89.32
2006-01-28,561.75,9.52,64.95,89.32
2006-01-30,565.0,9.58,65.14,89.42
2006-01-31,568.75,9.82,63.19,88.96
2006-02-01,568.25,9.74,65.64,89.51
2006-02-02,572.15,9.77,63.49,89.37
2006-02-03,569.0,9.8,62.54,89.89
2006-02-06,569.75,9.74,63.32,90.29
2006-02-07,558.7,9.68,61.64,90.24
2006-02-08,548.75,9.23,60.82,90.43
2006-02-09,560.25,9.46,60.7,90.29
2006-02-10,557.0,9.52,59.66,90.55
2006-02-12,557.0,9.33,59.66,90.55
2006-02-13,549.3,9.19,59.16,90.54
2006-02-14,539.7,9.05,58.27,90.54
2006-02-15,540.5,9.22,57.67,90.72
2006-02-16,538.75,9.1,56.78,90.73
2006-02-17,551.7,9.31,58.34,90.64
2006-02-18,551.7,9.38,58.34,90.64
2006-02-20,554.5,9.45,60.05,90.64
2006-02-21,554.0,9.46,59.35,90.55
2006-02-22,553.0,9.53,58.71,90.67
2006-02-23,551.2,9.51,58.71,90.39
2006-02-24,554.15,9.48,60.13,90.61
2006-02-25,554.15,9.68,60.13,90.61
2006-02-27,553.25,9.66,59.44,90.63
2006-02-28,556.0,9.58,59.78,90.11
2006-03-01,564.25,9.7,61.12,90.22
2006-03-02,563.75,9.71,62.27,89.56
2006-03-03,565.0,10.14,62.69,89.66
2006-03-04,565.0,10.15,62.69,89.66
2006-03-06,565.25,10.15,61.41,89.89
2006-03-07,553.0,9.95,59.79,90.77
2006-03-08,544.75,9.96,58.42,90.62
2006-03-09,550.1,9.74,58.82,90.75
2006-03-10,535.0,9.88,59.04,90.85
2006-03-12,535.0,9.9,59.04,90.85
2006-03-13,543.5,9.9,60.99,90.54
2006-03-14,545.8,10.04,62.39,90.0
2006-03-15,556.5,10.15,63.12,89.7
2006-03-16,552.75,10.21,62.07,89.07
2006-03-17,552.75,10.26,63.54,88.92
2006-03-18,552.75,10.31,63.54,88.92
2006-03-20,555.75,10.32,62.3,89.13
2006-03-21,547.5,10.23,59.96,89.62
2006-03-22,550.75,10.51,61.23,89.72
2006-03-23,546.5,10.41,61.76,90.46
2006-03-24,556.75,10.6,62.78,90.07
2006-03-25,556.75,10.68,62.78,90.07
2006-03-27,565.0,10.74,62.59,90.07
2006-03-28,567.5,10.81,64.31,90.25
2006-03-29,565.0,10.74,64.88,90.25
2006-03-30,584.0,11.14,65.95,89.39
2006-03-31,582.0,11.65,66.06,89.73
2006-04-01,582.0,11.45,66.06,89.73
2006-04-03,587.0,11.54,67.28,89.63
2006-04-04,588.0,11.66,65.93,88.83
2006-04-05,586.5,11.58,66.74,88.63
2006-04-06,592.5,11.77,67.58,88.96
2006-04-07,589.75,12.1,67.11,89.63
2006-04-08,589.75,12.02,67.11,89.63
2006-04-10,597.25,12.27,68.2,89.72
2006-04-11,597.75,12.82,68.52,89.44
2006-04-12,597.25,12.63,69.54,89.62
2006-04-13,593.0,12.6,69.39,89.62
2006-04-14,593.0,12.6,69.39,89.62
2006-04-15,593.0,12.89,69.39,89.62
2006-04-17,593.0,12.89,69.39,88.64
2006-04-18,614.75,13.5,70.97,88.24
2006-04-19,624.75,13.97,72.69,87.79
2006-04-20,625.0,14.4,72.57,88.25
2006-04-21,623.5,12.01,73.94,88.05
2006-04-22,623.5,12.89,73.94,88.05
2006-04-24,622.5,12.95,73.96,87.45
2006-04-25,634.75,12.95,72.86,87.32
2006-04-26,635.5,12.64,73.46,87.22
2006-04-27,638.0,12.69,71.79,86.63
2006-04-28,644.0,12.6,72.15,86.11
2006-04-29,644.0,13.63,72.15,86.11
2006-05-01,644.0,13.77,73.37,85.97
2006-05-02,661.0,13.7,74.45,85.79
2006-05-03,673.6,14.27,73.73,85.84
2006-05-04,673.5,13.68,71.84,85.84
2006-05-05,678.0,13.91,71.22,85.12
2006-05-06,678.0,13.91,71.22,85.12
2006-05-08,675.5,13.86,68.26,85.23
2006-05-09,691.25,13.77,70.6,84.83
2006-05-10,699.9,14.38,69.83,84.5
2006-05-11,715.5,14.33,72.2,84.27
2006-05-12,725.0,14.75,71.3,83.96
2006-05-13,725.0,14.28,71.3,83.96
2006-05-15,687.5,14.22,68.69,84.54
2006-05-16,692.0,13.1,68.66,84.17
2006-05-17,699.5,13.72,67.52,84.85
2006-05-18,693.5,13.04,67.39,84.51
2006-05-19,651.5,12.63,66.93,84.88
2006-05-20,651.5,12.34,66.93,84.88
2006-05-22,652.5,12.13,66.52,84.35
2006-05-23,666.75,12.46,68.97,84.35
2006-05-24,648.5,12.94,68.45,84.95
2006-05-25,642.5,12.47,68.51,84.65
2006-05-26,642.25,12.64,69.88,85.26
2006-05-27,642.25,12.66,69.88,85.26
2006-05-29,642.25,12.71,69.16,85.26
2006-05-30,660.5,12.68,69.82,84.28
2006-05-31,653.0,12.92,67.57,84.72
2006-06-01,625.0,12.32,68.77,84.79
2006-06-02,632.25,11.87,68.42,84.05
2006-06-03,632.25,12.07,68.42,84.05
2006-06-05,641.8,12.07,69.13,84.14
2006-06-06,627.0,11.97,68.25,84.73
2006-06-07,617.75,11.73,67.17,84.99
2006-06-08,614.0,11.7,65.76,85.91
2006-06-09,616.0,11.11,69.13,85.72
2006-06-10,616.0,11.11,69.13,85.72
2006-06-12,609.2,11.07,68.62,85.85
2006-06-13,586.5,10.73,65.67,86.43
2006-06-14,567.75,10.18,65.52,86.14
2006-06-15,569.5,9.7,66.04,86.02
2006-06-16,574.0,10.2,65.01,85.92
2006-06-17,574.0,10.19,65.01,85.92
2006-06-19,571.0,9.94,66.4,86.31
2006-06-20,567.0,9.86,67.57,86.18
2006-06-21,574.6,10.24,68.17,85.78
2006-06-22,584.5,10.48,69.6,86.39
2006-06-23,579.6,10.05,69.91,86.82
2006-06-24,579.6,10.26,69.91,86.82
2006-06-26,583.5,10.23,69.85,86.49
2006-06-27,588.75,10.23,71.26,86.47
2006-06-28,582.75,10.18,71.76,86.63
2006-06-29,589.25,10.15,73.02,85.87
2006-06-30,613.5,10.64,73.2,85.22
2006-07-01,613.5,10.92,73.2,85.22
2006-07-03,622.95,11.03,73.94,85.18
2006-07-04,622.0,11.09,73.17,85.18
2006-07-05,623.0,11.18,72.88,85.6
2006-07-06,626.0,11.24,73.12,85.35
